,global,North_America,South_America,Europe,Africa,North_Asia,Central_Asia,East_Asia,South_Asia,South_East_Asia,Oceania
GPP,123.16,17.46,33.72,5.04,26.74,9.65,2.24,9.44,3.71,10.31,4.85
NPP,56.239999999999995,8.41,14.14,2.57,12.13,5.09,1.1,4.68,1.74,4.19,2.19
CVeg,463.7899999999999,73.64,140.38,16.61,85.05,48.85,3.78,32.12,7.91,44.95,10.5
CSoil,1257.61,313.11,158.28,61.13,127.02,368.32,29.33,113.06,19.53,37.09,30.74
Tau,22.361486486486488,37.230677764565996,11.193776520509193,23.785992217898833,10.471558120362737,72.36149312,26.66363636363636,24.15811965811966,11.224137931034484,8.852028639618139,14.036529680365296
