,global,North_America,South_America,Europe,Africa,North_Asia,Central_Asia,East_Asia,South_Asia,South_East_Asia,Oceania
GPP,124.04,16.79,33.02,5.48,26.3,9.41,2.33,9.32,5.11,11.67,4.61
NPP,60.260000000000005,8.87,15.38,2.57,12.8,5.33,1.22,4.72,2.46,4.79,2.12
CVeg,412.96000000000004,53.3,94.1,16.61,84,59.5,2.83,33.34,9.29,48.11,11.88
CSoil,1252.21,301.6,220.6,61.13,87.7,317.1,33.14,115.81,30.44,39.95,44.74
Tau,20.78011948224361,34.002254791431795,14.343302990897268,23.785992217898833,6.8515625,59.49343339587242,27.16393442622951,24.536016949152543,12.37398374,8.340292275574113,21.10377358490566
