,global,North_America,South_America,Europe,Africa,North_Asia,Central_Asia,East_Asia,South_Asia,South_East_Asia,Oceania
GPP,7.747386656,2.1,5.23,0.5,3.1,1.12,1.08,1.39,1.13,2.43,2.62
NPP,4.9063835969071965,1.04,3.47,0.64,2.8,0.37,0.59,0.79,0.63,0.92,0.59
CVeg,49.278170623512395,18.5,37.3,9.15,12,4.85,1.09,14.26,3.26,13.43,6.93
CSoil,228.11292247481293,206.8,66.2,42.34,11,15.86,20.96,36.24,12.3,15.53,24.01
Tau,4.1463775780335785,23.652948972703935,5.385098416,17.50720429376909,1.727676118769406,5.0902497551408095,21.627191632191302,8.707229838858058,5.919647408372224,3.616315273963945,12.757782818217184
